Timestamp,Orientation,Inclination,Time_of_day,Date
343806879.28,129.29,78.08,00:54:39,
343806881.29,128.50,76.98,00:54:41,
343806883.29,128.50,77.95,00:54:43,
343806885.29,127.87,78.11,00:54:45,
343806887.29,127.87,79.08,00:54:47,
343806889.29,129.29,78.08,00:54:49,
343806891.29,128.50,77.95,00:54:51,
343806893.30,129.29,79.05,00:54:53,
343806895.30,128.50,77.95,00:54:55,
343806897.30,127.87,78.11,00:54:57,
343806899.30,129.14,77.79,00:54:59,
343806901.30,129.14,77.79,00:55:01,2011-11-24
343806903.31,129.94,78.90,00:55:03,
343806905.31,128.50,78.93,00:55:05,
343806907.31,129.29,78.08,00:55:07,
343806909.31,128.50,76.98,00:55:09,
343806911.31,128.50,77.95,00:55:11,
343806913.31,129.29,78.08,00:55:13,
343806915.32,127.87,78.11,00:55:15,
343806917.32,129.29,78.08,00:55:17,
343806919.32,128.50,77.95,00:55:19,
343806921.32,128.50,77.95,00:55:21,
343806923.32,129.29,78.08,00:55:23,
343806925.32,129.29,78.08,00:55:25,
343806927.33,127.69,77.82,00:55:27,
343806929.33,128.50,77.95,00:55:29,
343806931.33,127.87,78.11,00:55:31,
343806933.33,127.87,78.11,00:55:33,
343806935.33,128.66,78.24,00:55:35,
343806937.34,127.87,78.11,00:55:37,
343806939.34,128.50,77.95,00:55:39,
343806941.34,127.87,78.11,00:55:41,
343806943.34,129.29,79.05,00:55:43,
343806945.34,128.50,78.93,00:55:45,
343806947.34,128.50,77.95,00:55:47,
343806949.35,128.50,78.93,00:55:49,
343806951.35,127.87,78.11,00:55:51,
343806953.35,128.50,77.95,00:55:53,
343806955.35,127.87,78.11,00:55:55,
343806957.35,128.50,76.98,00:55:57,
343806959.36,127.87,77.15,00:55:59,
343806961.36,127.07,77.99,00:56:01,2011-11-24
343806963.36,127.07,77.99,00:56:03,
343806965.36,128.50,77.95,00:56:05,
343806967.36,127.87,78.11,00:56:07,
343806969.36,127.07,77.99,00:56:09,
343806971.37,127.87,78.11,00:56:11,
343806973.37,127.07,78.96,00:56:13,
343806975.37,127.87,78.11,00:56:15,
343806977.37,122.01,79.00,00:56:17,
343806979.37,87.18,75.32,00:56:19,
343806981.37,80.39,82.23,00:56:21,
343806983.38,35.66,63.68,00:56:23,
343806985.38,24.52,70.65,00:56:25,
343806987.38,21.80,74.44,00:56:27,
343806989.38,27.80,78.19,00:56:29,
343806991.38,33.44,65.46,00:56:31,
343806993.59,22.83,63.38,00:56:33,
343806995.59,-61.48,69.09,00:56:35,
343806997.59,-45.67,69.06,00:56:37,
343806999.59,-48.45,72.09,00:56:39,
343807001.59,-57.89,69.93,00:56:41,
343807003.59,-58.20,71.22,00:56:43,
343807005.60,-56.04,72.17,00:56:45,
343807007.60,-58.52,72.60,00:56:47,
343807009.60,-55.24,71.46,00:56:49,
343807011.60,-55.24,71.46,00:56:51,
343807013.60,-53.33,70.28,00:56:53,
343807015.61,-54.46,71.63,00:56:55,
343807017.61,-53.90,71.39,00:56:57,
343807019.61,-53.90,70.53,00:56:59,
343807021.61,-53.90,70.53,00:57:01,2011-11-24
343807023.61,-56.04,72.17,00:57:03,
343807025.61,-53.33,70.28,00:57:05,
343807027.62,-56.04,71.30,00:57:07,
343807029.62,-53.90,70.53,00:57:09,
343807031.62,-53.33,72.04,00:57:11,
343807033.62,-61.23,68.43,00:57:13,
343807035.62,-59.04,73.75,00:57:15,
343807037.63,-53.75,65.87,00:57:17,
343807039.63,-56.04,70.43,00:57:19,
343807041.63,-52.73,68.30,00:57:21,
343807043.63,-53.33,70.28,00:57:23,
343807045.63,-57.68,70.09,00:57:25,
343807047.63,-55.49,70.17,00:57:27,
343807049.64,-57.68,69.22,00:57:29,
343807051.64,-56.85,70.26,00:57:31,
343807053.64,-55.49,69.31,00:57:33,
343807055.64,-56.85,70.26,00:57:35,
343807057.64,-55.24,70.60,00:57:37,
343807059.64,-56.04,70.43,00:57:39,
343807061.65,-56.04,69.57,00:57:41,
343807063.65,-57.14,69.82,00:57:43,
343807065.65,-54.69,69.49,00:57:45,
343807067.65,-56.04,71.30,00:57:47,
343807069.65,-55.49,70.17,00:57:49,
343807071.66,-56.04,70.43,00:57:51,
343807073.66,-54.69,69.49,00:57:53,
343807075.66,-55.49,70.17,00:57:55,
343807077.66,-54.69,69.49,00:57:57,
343807079.66,-56.04,69.57,00:57:59,
343807081.66,-56.04,69.57,00:58:01,2011-11-24
343807083.67,-56.31,70.00,00:58:03,
343807085.67,-55.49,69.31,00:58:05,
343807087.67,-56.04,69.57,00:58:07,
343807089.67,-55.49,70.17,00:58:09,
343807091.67,-55.49,69.31,00:58:11,
343807093.68,-56.04,69.57,00:58:13,
343807095.68,-55.49,69.31,00:58:15,
343807097.68,-56.04,69.57,00:58:17,
343807099.68,-56.04,70.43,00:58:19,
343807101.68,-55.49,69.31,00:58:21,
343807103.68,-55.49,69.31,00:58:23,
343807105.69,-55.49,69.31,00:58:25,
343807107.69,-55.49,69.31,00:58:27,
343807109.69,-55.49,70.17,00:58:29,
343807111.69,-54.69,69.49,00:58:31,
343807113.69,-54.69,70.35,00:58:33,
343807115.69,-54.69,70.35,00:58:35,
343807117.70,-54.93,69.04,00:58:37,
343807119.70,-55.24,70.60,00:58:39,
343807121.70,-55.49,68.45,00:58:41,
343807123.70,-55.49,70.17,00:58:43,
343807125.70,-55.24,69.75,00:58:45,
343807127.71,-55.49,69.31,00:58:47,
343807129.71,-55.49,70.17,00:58:49,
343807131.71,-55.49,69.31,00:58:51,
343807133.71,-55.49,70.17,00:58:53,
343807135.71,-55.49,70.17,00:58:55,
343807137.72,-56.31,68.26,00:58:57,
343807139.72,-56.85,70.26,00:58:59,
343807141.72,-54.69,69.49,00:59:01,2011-11-24
343807143.72,-56.31,70.00,00:59:03,
343807145.72,-54.69,70.35,00:59:05,
343807147.72,-55.49,69.31,00:59:07,
343807149.73,-56.04,70.43,00:59:09,
343807151.73,-54.69,69.49,00:59:11,
343807153.73,-56.04,70.43,00:59:13,
343807155.73,-56.04,71.30,00:59:15,
343807157.73,-54.69,70.35,00:59:17,
343807159.73,-56.04,70.43,00:59:19,
343807161.74,-56.31,69.13,00:59:21,
343807163.74,-56.31,69.13,00:59:23,
343807165.74,-54.69,70.35,00:59:25,
343807167.74,-56.85,70.26,00:59:27,
343807169.74,-56.31,70.00,00:59:29,
343807171.75,-55.49,69.31,00:59:31,
343807173.75,-56.31,70.00,00:59:33,
343807175.75,-55.49,69.31,00:59:35,
343807177.75,-56.04,70.43,00:59:37,
343807179.75,-55.49,69.31,00:59:39,
343807181.75,-55.49,69.31,00:59:41,
343807183.76,-55.49,70.17,00:59:43,
343807185.76,-56.04,70.43,00:59:45,
343807187.76,-56.31,69.13,00:59:47,
343807189.76,-56.31,70.00,00:59:49,
343807191.76,-56.85,69.40,00:59:51,
343807193.77,-55.49,70.17,00:59:53,
343807195.77,-57.09,70.93,00:59:55,
343807197.77,-55.49,69.31,00:59:57,
343807199.77,-56.04,69.57,00:59:59,
